"filename", "language", "JavaScript", "JSON with Comments", "JSON", "TypeScript", "Markdown", "YAML", "comment", "blank", "total"
"e:\Fernando Herrera\Nest\distritosiete\.eslintrc.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 1, 26
"e:\Fernando Herrera\Nest\distritosiete\.prettierrc", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 4
"e:\Fernando Herrera\Nest\distritosiete\README.md", "Markdown", 0, 0, 0, 0, 52, 0, 2, 21, 75
"e:\Fernando Herrera\Nest\distritosiete\credentials.json", "JSON", 0, 0, 13, 0, 0, 0, 0, 1, 14
"e:\Fernando Herrera\Nest\distritosiete\docker-compose.yaml", "YAML", 0, 0, 0, 0, 0, 13, 0, 0, 13
"e:\Fernando Herrera\Nest\distritosiete\nest-cli.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 1, 9
"e:\Fernando Herrera\Nest\distritosiete\package-lock.json", "JSON", 0, 0, 10759, 0, 0, 0, 0, 1, 10760
"e:\Fernando Herrera\Nest\distritosiete\package.json", "JSON", 0, 0, 93, 0, 0, 0, 0, 1, 94
"e:\Fernando Herrera\Nest\distritosiete\src\apoyosgubernamentales\apoyosgubernamentales.controller.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 10, 46
"e:\Fernando Herrera\Nest\distritosiete\src\apoyosgubernamentales\apoyosgubernamentales.module.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 2, 15
"e:\Fernando Herrera\Nest\distritosiete\src\apoyosgubernamentales\apoyosgubernamentales.service.ts", "TypeScript", 0, 0, 0, 87, 0, 0, 2, 55, 144
"e:\Fernando Herrera\Nest\distritosiete\src\apoyosgubernamentales\dto\create-apoyosgubernamentale.dto.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 10, 44
"e:\Fernando Herrera\Nest\distritosiete\src\apoyosgubernamentales\dto\update-apoyosgubernamentale.dto.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 1, 2, 6
"e:\Fernando Herrera\Nest\distritosiete\src\apoyosgubernamentales\entities\apoyosgubernamentale.entity.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 1, 9, 53
"e:\Fernando Herrera\Nest\distritosiete\src\apoyossociales\apoyossociales.controller.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 8, 44
"e:\Fernando Herrera\Nest\distritosiete\src\apoyossociales\apoyossociales.module.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 2, 15
"e:\Fernando Herrera\Nest\distritosiete\src\apoyossociales\apoyossociales.service.ts", "TypeScript", 0, 0, 0, 86, 0, 0, 2, 55, 143
"e:\Fernando Herrera\Nest\distritosiete\src\apoyossociales\dto\create-apoyossociale.dto.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 7, 43
"e:\Fernando Herrera\Nest\distritosiete\src\apoyossociales\dto\update-apoyossociale.dto.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 1, 2, 6
"e:\Fernando Herrera\Nest\distritosiete\src\apoyossociales\entities\apoyossociale.entity.ts", "TypeScript", 0, 0, 0, 47, 0, 0, 0, 19, 66
"e:\Fernando Herrera\Nest\distritosiete\src\app.module.ts", "TypeScript", 0, 0, 0, 72, 0, 0, 0, 32, 104
"e:\Fernando Herrera\Nest\distritosiete\src\auth\auth.controller.ts", "TypeScript", 0, 0, 0, 78, 0, 0, 1, 23, 102
"e:\Fernando Herrera\Nest\distritosiete\src\auth\auth.module.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 4, 8, 42
"e:\Fernando Herrera\Nest\distritosiete\src\auth\auth.service.ts", "TypeScript", 0, 0, 0, 64, 0, 0, 1, 37, 102
"e:\Fernando Herrera\Nest\distritosiete\src\auth\decorators\auth.decorator.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 4, 15
"e:\Fernando Herrera\Nest\distritosiete\src\auth\decorators\get-user.decorator.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 7, 19
"e:\Fernando Herrera\Nest\distritosiete\src\auth\decorators\index.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 1, 5
"e:\Fernando Herrera\Nest\distritosiete\src\auth\decorators\raw-headers.decorator.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 4, 11
"e:\Fernando Herrera\Nest\distritosiete\src\auth\decorators\role-protected.decorator.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 5, 11
"e:\Fernando Herrera\Nest\distritosiete\src\auth\dto\create-user.dto.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 6, 30
"e:\Fernando Herrera\Nest\distritosiete\src\auth\dto\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 3, 5
"e:\Fernando Herrera\Nest\distritosiete\src\auth\dto\login-user.dto.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 6, 24
"e:\Fernando Herrera\Nest\distritosiete\src\auth\entities\user.entity.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 11, 49
"e:\Fernando Herrera\Nest\distritosiete\src\auth\guards\user-role.guard.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 9, 39
"e:\Fernando Herrera\Nest\distritosiete\src\auth\interfaces\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 2
"e:\Fernando Herrera\Nest\distritosiete\src\auth\interfaces\jwt-payload.interface.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 1, 2, 6
"e:\Fernando Herrera\Nest\distritosiete\src\auth\interfaces\valid-roles.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 5
"e:\Fernando Herrera\Nest\distritosiete\src\auth\strategies\jwt.strategy.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 12, 40
"e:\Fernando Herrera\Nest\distritosiete\src\categorias\categorias.controller.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 7, 43
"e:\Fernando Herrera\Nest\distritosiete\src\categorias\categorias.module.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 2, 15
"e:\Fernando Herrera\Nest\distritosiete\src\categorias\categorias.service.ts", "TypeScript", 0, 0, 0, 85, 0, 0, 2, 56, 143
"e:\Fernando Herrera\Nest\distritosiete\src\categorias\dto\create-categoria.dto.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 3, 13
"e:\Fernando Herrera\Nest\distritosiete\src\categorias\dto\update-categoria.dto.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 2, 5
"e:\Fernando Herrera\Nest\distritosiete\src\categorias\entities\categoria.entity.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 8, 32
"e:\Fernando Herrera\Nest\distritosiete\src\centrosdeportivos\centrosdeportivos.controller.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 7, 43
